Index,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
312,0.0,-0.644016444683075,-0.7650116682052612,0.03581499308347702,-0.9289770722389221,0.2831592857837677,-0.2383744716644287,0.012194002978503704,0.37013721466064453,0.7106782793998718,-0.5982765555381775,0.03294700011610985,0.0,0.0,0.0,1.0
351,0.0,-0.5736121535301208,-0.819127082824707,0.03960200026631355,-0.996971070766449,0.06370582431554794,-0.04461143538355827,8.30029312055558e-05,0.07777281850576401,0.8166459798812866,-0.571874737739563,0.030314000323414803,0.0,0.0,0.0,1.0
477,0.0,-0.6412692666053772,-0.7673159837722778,0.036132000386714935,-0.8549385666847229,-0.39802929759025574,0.3326452672481537,-0.031181996688246727,-0.5187294483184814,0.6560078263282776,-0.5482458472251892,0.023996001109480858,0.0,0.0,0.0,1.0
479,0.0,-0.416465163230896,-0.9091517329216003,0.04151900112628937,-0.7876877784729004,-0.5601052641868591,0.2565736174583435,-0.02129499800503254,-0.6160745620727539,0.7161276936531067,-0.3280445635318756,0.02159300073981285,0.0,0.0,0.0,1.0
486,0.0,-0.43830811977386475,-0.8988248705863953,0.04195799678564072,-0.9355966448783875,-0.31734877824783325,0.15475380420684814,-0.012649997137486935,-0.35307079553604126,0.8409374356269836,-0.41007962822914124,0.02494499832391739,0.0,0.0,0.0,1.0
607,0.0,-0.5544089078903198,-0.8322444558143616,0.040860000997781754,-0.9866350889205933,-0.1356104016304016,0.09033840149641037,-0.007053997367620468,-0.16294541954994202,0.8211214542388916,-0.5469993352890015,0.02818700112402439,0.0,0.0,0.0,1.0
960,0.0,-0.7631934881210327,-0.6461700201034546,0.030220000073313713,-0.8147157430648804,-0.3746884763240814,0.44254574179649353,-0.039076998829841614,-0.5798604488372803,0.5264449715614319,-0.6217857599258423,0.027027001604437828,0.0,0.0,0.0,1.0
