Index,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
424,0.0,-0.9884743690490723,0.15138816833496094,-0.005235002376139164,-0.6236555576324463,-0.11834000796079636,-0.7726897597312927,0.015556000173091888,0.7816992998123169,-0.09441405534744263,-0.6164675354957581,0.09082300215959549,0.0,0.0,0.0,1.0
425,0.0,-0.9583833813667297,0.2854844927787781,-0.010273002088069916,-0.7189958095550537,-0.1984158456325531,-0.6660902500152588,0.014480999670922756,0.6950144171714783,-0.20526215434074402,-0.6890736222267151,0.09028799831867218,0.0,0.0,0.0,1.0
701,0.0,-0.7368488907814026,-0.6760574579238892,0.019063999876379967,-0.9839746356010437,-0.12054692953824997,0.13138657808303833,-0.004384999163448811,-0.17830872535705566,0.6652233600616455,-0.72504061460495,0.09153500199317932,0.0,0.0,0.0,1.0
705,0.0,-0.7332550287246704,-0.6799537539482117,0.0196089968085289,-0.9907422661781311,0.09230788052082062,-0.09954386204481125,0.000758001406211406,0.13575612008571625,0.6736589074134827,-0.7264667749404907,0.09119400382041931,0.0,0.0,0.0,1.0
713,0.0,-0.8141085505485535,-0.5807127356529236,0.01733199879527092,-0.9228149056434631,0.22371578216552734,-0.31363001465797424,0.005751000251621008,0.3852434456348419,0.5358903408050537,-0.7512716054916382,0.09157399833202362,0.0,0.0,0.0,1.0
718,0.0,-0.8743671774864197,-0.4852648675441742,0.01356399804353714,-0.8487670421600342,0.2565920352935791,-0.4623365104198456,0.010710000060498714,0.5287669897079468,0.4118768274784088,-0.7421340346336365,0.09158799797296524,0.0,0.0,0.0,1.0
724,0.0,-0.9178934693336487,-0.3968270719051361,0.012678997591137886,-0.8070483803749084,0.23432056605815887,-0.5420025587081909,0.012649999000132084,0.5904852747917175,0.3202586770057678,-0.7407844066619873,0.09067099541425705,0.0,0.0,0.0,1.0
736,0.0,-0.9990239143371582,-0.04417393356561661,0.0014659975422546268,-0.6225666999816895,0.03456905484199524,-0.781802773475647,0.016169998794794083,0.7825667262077332,0.027501223608851433,-0.6219589710235596,0.09086000174283981,0.0,0.0,0.0,1.0
745,0.0,-0.96807861328125,-0.25064677000045776,0.010217997245490551,-0.671781063079834,0.1856665313243866,-0.7171040177345276,0.015398000366985798,0.740749716758728,0.1683797538280487,-0.6503369212150574,0.08947999775409698,0.0,0.0,0.0,1.0
