Index,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
348,0.0,-0.9961477518081665,0.08769091963768005,-0.0037820034194737673,-0.5713633894920349,-0.07196769118309021,-0.8175356388092041,0.029235001653432846,0.8206971883773804,-0.050103381276130676,-0.5691623687744141,0.03806000202894211,0.0,0.0,0.0,1.0
352,0.0,-0.9655088782310486,0.26037031412124634,-0.012312003411352634,-0.6320935487747192,-0.20175889134407043,-0.7481651306152344,0.027646997943520546,0.7748919725418091,-0.1645784080028534,-0.6102919578552246,0.037629999220371246,0.0,0.0,0.0,1.0
362,0.0,-0.9087421298027039,0.41735807061195374,-0.01989000290632248,-0.7190744876861572,-0.2900359034538269,-0.6315149068832397,0.024501996114850044,0.6949329972267151,-0.3001115322113037,-0.6534532904624939,0.03700999915599823,0.0,0.0,0.0,1.0
396,0.0,-0.9954712986946106,-0.0950620174407959,0.0033989963121712208,-0.6055680513381958,0.07564973086118698,-0.7921897172927856,0.027962997555732727,0.7957935333251953,0.05756651237607002,-0.6028257012367249,0.039924997836351395,0.0,0.0,0.0,1.0
397,0.0,-0.9636518955230713,-0.26716119050979614,0.01320099737495184,-0.6147070527076721,0.2107248306274414,-0.7600857615470886,0.028380000963807106,0.7887554168701172,0.16422586143016815,-0.5923636555671692,0.03642499819397926,0.0,0.0,0.0,1.0
401,0.0,-0.9219284653663635,-0.38736024498939514,0.019551996141672134,-0.6628894805908203,0.2900232970714569,-0.6902637481689453,0.025755999609827995,0.7487172484397888,0.2567770183086395,-0.6111366748809814,0.03608100116252899,0.0,0.0,0.0,1.0
754,0.0,-0.8948688507080078,0.4463292360305786,-0.023312004283070564,-0.8076208233833313,-0.2632012963294983,-0.5277060866355896,0.021049996837973595,0.5897021293640137,-0.36046478152275085,-0.7227147221565247,0.037675000727176666,0.0,0.0,0.0,1.0
