joint0,joint1,joint2,joint3,joint4,joint5,filename
2.668429374694824,-1.3121060293963929,1.657438103352682,-1.3453727078488846,-2.2347047964679163,2.7732303142547607,1743165992.png
2.0117781162261963,-1.1985823971084137,0.9830172697650355,-1.3636076313308259,-2.0373223463641565,1.9040429592132568,1743166000.png
2.325515031814575,-1.3487190169147034,1.1750877539264124,-1.0295007985881348,-2.1954787413226526,3.676642656326294,1743166010.png
1.9566385746002197,-1.0769715470126648,0.899909798298971,-1.368724749689438,-2.322439495717184,3.276005744934082,1743166018.png
2.3558661937713623,-1.1782258611968537,0.7335699240313929,-0.7479542654803772,-2.059718434010641,5.567559719085693,1743166030.png
1.0344054698944092,-1.3643320214799424,0.0348895231830042,-0.3283199828914185,-1.603236500416891,5.741898536682129,1743166042.png
1.8008670806884766,-2.3330046139159144,1.4646528402911585,-0.9135993284038086,-1.7238238493548792,6.821651820336477,1743166055.png
1.7427233457565308,-2.26842798809194,1.4653423468219202,-1.0899163645556946,-1.7562335173236292,9.454927031193868,1743166061.png
-1.5233100096331995,-0.7946377557567139,-1.6981194019317627,-1.920999666253561,-4.651916448269979,4.842523574829102,1743166084.png
-2.4930699507342737,-1.851985593835348,-1.7297844886779785,-1.4798797008446236,-4.00494105020632,3.7095136642456055,1743166097.png
-1.9866460005389612,-1.6080299816527308,-1.6789425611495972,-1.6695500812926234,-4.164984051381246,2.6873042583465576,1743166107.png
-1.8399441877948206,-1.8451997242369593,-1.3998146057128906,-1.6144520244994105,-4.0260236899005335,1.3028063774108887,1743166122.png
-1.308194939290182,-1.7660595379271449,-0.7916353344917297,-1.911724706689352,-4.717209760342733,3.398735761642456,1743166132.png
-1.9756177107440394,-0.5847433370402833,-1.0301600694656372,-2.591868063012594,-4.466424886380331,5.933215618133545,1743166155.png
-2.778437916432516,-1.9537860355772914,-1.1366541385650635,-2.2626759014525355,-4.189947430287496,4.007673740386963,1743166169.png
-2.7782273928271692,-1.953825136224264,-1.1363368034362793,-2.4116093120970667,-4.04024845758547,6.716648821030752,1743166176.png
