joint0,joint1,joint2,joint3,joint4,joint5,filename
2.42081880569458,-1.8323756657042445,1.8488324324237269,-1.4759549436024209,-2.17021352449526,14.605507262537273,1742995774.png
2.407785415649414,-1.4782406252673645,1.8535736242877405,-1.5376416009715577,-2.2744606176959437,14.605511792490276,1742995787.png
2.401130437850952,-2.0347806415953578,1.3814051787005823,-1.1187326473048707,-2.121556584035055,14.272364505121502,1742995796.png
1.9653090238571167,-1.1531276267817994,0.7481878439532679,-0.923537628059723,-2.202668015156881,11.398431126271383,1742995812.png
1.7506219148635864,-0.972804145222046,0.7350366751300257,-1.319166050558426,-2.1957410017596644,11.49661618867983,1742995818.png
1.268520474433899,-1.3244395715049286,0.866551701222555,-0.9771076601794739,-1.7176149527179163,9.049689594899313,1742995835.png
1.2751585245132446,-1.3244187545827408,0.8664034048663538,-1.1366830331138154,-1.5506098906146448,5.96433687210083,1742995843.png
-2.2283061186419886,-1.686650892297262,-1.413993239402771,-1.8897677860655726,1.9440001249313354,4.421386241912842,1742995871.png
-1.9905198256122034,-2.3841077289977015,-0.3857494294643402,-1.9813701115050257,2.1500022411346436,4.382859706878662,1742995892.png
-2.3837104479419153,-2.5970102749266566,-0.4684210419654846,-2.5224343738951625,2.1707043647766113,3.5893471240997314,1742995899.png
-2.1303380171405237,-2.5367351971068324,-0.01953885518014431,-2.3031493626036585,2.3235387802124023,2.632603168487549,1742995909.png
-2.13175613084902,-2.536835332910055,-0.029822612181305885,-2.6930672130980433,2.1939198970794678,2.418849229812622,1742995913.png
-2.023702923451559,-2.5461751423277796,-0.026829946786165237,-2.2465011082091273,2.3539533615112305,1.1783989667892456,1742995919.png
-2.0244138876544397,-2.54420866588735,-0.024834198877215385,-2.5234281025328578,2.1858763694763184,-0.5918520132647913,1742995930.png
-1.7470863501178187,-0.31493432939562993,-1.7040634155273438,-2.14611353496694,1.880950927734375,-0.19654542604555303,1742995952.png
2.7741451263427734,-1.7703443966307582,1.9703801313983362,-1.5637298205732186,4.117351531982422,1.8480669260025024,1742996000.png
2.1662869453430176,-0.9348676961711426,1.4252756277667444,-2.1340795956053675,3.909499406814575,1.713131070137024,1742996009.png
